;;Inkomen en vermogen|Particuliere huishoudens excl. studenten;Inkomen en vermogen|Inkomen van particuliere huishoudens|Gemiddeld besteedbaar inkomen|Particuliere huishoudens excl. studenten;Inkomen en vermogen|Inkomen van particuliere huishoudens|Gemiddeld besteedbaar inkomen|Type: Eenpersoonshuishouden;Inkomen en vermogen|Inkomen van particuliere huishoudens|Gemiddeld besteedbaar inkomen|Type: Eenoudergezin;Inkomen en vermogen|Inkomen van particuliere huishoudens|Gemiddeld besteedbaar inkomen|Type: Paar, zonder kind;Inkomen en vermogen|Inkomen van particuliere huishoudens|Gemiddeld besteedbaar inkomen|Type: Paar, met kind(eren);Inkomen en vermogen|Inkomen van particuliere huishoudens|Gemiddeld besteedbaar inkomen|Bron: Inkomen als werknemer;Inkomen en vermogen|Inkomen van particuliere huishoudens|Gemiddeld besteedbaar inkomen|Bron: Inkomen als zelfstandige;Inkomen en vermogen|Inkomen van particuliere huishoudens|Gemiddeld besteedbaar inkomen|Bron: Overdrachtsinkomen;Inkomen en vermogen|Inkomen van particuliere huishoudens|Gemiddeld besteedbaar inkomen|Woningbezit: eigen woning;Inkomen en vermogen|Inkomen van particuliere huishoudens|Gemiddeld besteedbaar inkomen|Woningbezit: huurwoning;Inkomen en vermogen|Inkomen van particuliere huishoudens|Gemiddeld gestandaardiseerd inkomen|Particuliere huishoudens excl. studenten;Inkomen en vermogen|Inkomen van particuliere huishoudens|Gemiddeld gestandaardiseerd inkomen|Type: Eenpersoonshuishouden;Inkomen en vermogen|Inkomen van particuliere huishoudens|Gemiddeld gestandaardiseerd inkomen|Type: Eenoudergezin;Inkomen en vermogen|Inkomen van particuliere huishoudens|Gemiddeld gestandaardiseerd inkomen|Type: Paar, zonder kind;Inkomen en vermogen|Inkomen van particuliere huishoudens|Gemiddeld gestandaardiseerd inkomen|Type: Paar, met kind(eren);Inkomen en vermogen|Inkomen van particuliere huishoudens|Gemiddeld gestandaardiseerd inkomen|Bron: Inkomen als werknemer;Inkomen en vermogen|Inkomen van particuliere huishoudens|Gemiddeld gestandaardiseerd inkomen|Bron: Inkomen als zelfstandige;Inkomen en vermogen|Inkomen van particuliere huishoudens|Gemiddeld gestandaardiseerd inkomen|Bron: Overdrachtsinkomen;Inkomen en vermogen|Inkomen van particuliere huishoudens|Gemiddeld gestandaardiseerd inkomen|Woningbezit: eigen woning;Inkomen en vermogen|Inkomen van particuliere huishoudens|Gemiddeld gestandaardiseerd inkomen|Woningbezit: huurwoning;Inkomen en vermogen|Mediaan vermogen huishoudens|Particuliere huishoudens excl. studenten;Inkomen en vermogen|Mediaan vermogen huishoudens|Type: Eenpersoonshuishouden;Inkomen en vermogen|Mediaan vermogen huishoudens|Type: Eenoudergezin;Inkomen en vermogen|Mediaan vermogen huishoudens|Type: Paar, zonder kind;Inkomen en vermogen|Mediaan vermogen huishoudens|Type: Paar, met kind(eren);Inkomen en vermogen|Mediaan vermogen huishoudens|Bron: Inkomen als werknemer;Inkomen en vermogen|Mediaan vermogen huishoudens|Bron: Inkomen als zelfstandige;Inkomen en vermogen|Mediaan vermogen huishoudens|Bron: Overdrachtsinkomen;Inkomen en vermogen|Mediaan vermogen huishoudens|Woningbezit: eigen woning;Inkomen en vermogen|Mediaan vermogen huishoudens|Woningbezit: huurwoning;Lokalisering|Lokaliseringen van gemeenten|Arbeidsmarktregio's|Code;Lokalisering|Lokaliseringen van gemeenten|Arbeidsmarktregio's|Naam;Lokalisering|Lokaliseringen van gemeenten|GGD-regio's|Code;Lokalisering|Lokaliseringen van gemeenten|GGD-regio's|Naam;Lokalisering|Lokaliseringen van gemeenten|Jeugdzorgregio's|Code;Lokalisering|Lokaliseringen van gemeenten|Jeugdzorgregio's|Naam;Lokalisering|Lokaliseringen van gemeenten|Regionale eenheden|Code;Lokalisering|Lokaliseringen van gemeenten|Regionale eenheden|Naam;Lokalisering|Lokaliseringen van gemeenten|RegioPlus-arbeidsmarktregio's|Code;Lokalisering|Lokaliseringen van gemeenten|RegioPlus-arbeidsmarktregio's|Naam;Lokalisering|Lokaliseringen van gemeenten|Veiligheidsregio's|Code;Lokalisering|Lokaliseringen van gemeenten|Veiligheidsregio's|Naam;Lokalisering|Lokaliseringen van gemeenten|Zorgkantoorregio's|Code;Lokalisering|Lokaliseringen van gemeenten|Zorgkantoorregio's|Naam;Lokalisering|Koppelvariabele regio (code)
Regio's;Perioden;x 1 000;1 000 euro;1 000 euro;1 000 euro;1 000 euro;1 000 euro;1 000 euro;1 000 euro;1 000 euro;1 000 euro;1 000 euro;1 000 euro;1 000 euro;1 000 euro;1 000 euro;1 000 euro;1 000 euro;1 000 euro;1 000 euro;1 000 euro;1 000 euro;1 000 euro;1 000 euro;1 000 euro;1 000 euro;1 000 euro;1 000 euro;1 000 euro;1 000 euro;1 000 euro;1 000 euro;code;naam;code;naam;code;naam;code;naam;code;naam;code;naam;code;naam;code
Nederland;2019;7625,8;45,4;25,9;37,4;49,3;69;51;.;31,4;57,6;28,3;31,4;26;25,2;35,3;36,3;33,6;.;25,2;38;22,2;57,4;14,1;6,8;140,1;101,7;47,9;187,1;51,7;184,9;2,4;;;;;;;;;;;;;;;NL01
Groningen (PV);2019;263,9;39,2;23,6;34,2;44,4;61,2;44,8;.;27,9;49,8;25;28;23,6;23,3;31,8;32,4;30,5;.;22,7;33,8;20,3;33;9,4;4,1;97,3;62,6;26,6;145,5;31,8;124;1,5;;;;;;;;;;;;;;;PV20
Fryslân (PV);2019;285,2;41,6;24,2;35,7;44,4;62,2;46,8;.;29,3;50,5;26;28,8;24,3;24,1;31,8;32,5;30,5;.;23,7;33,6;20,6;58,4;17,9;8,2;138,9;79,5;39,9;194;76,8;145,9;3;;;;;;;;;;;;;;;PV21
Drenthe (PV);2019;215,8;43,3;24,7;36,2;45,6;63,3;49,5;.;31,1;51,7;26,1;29,8;24,7;24,6;32,7;33,4;31,9;.;24,8;34,3;20,6;64,6;20,2;9,7;144,1;73;44,5;200,5;91;146,4;2,9;;;;;;;;;;;;;;;PV22
Overijssel (PV);2019;488,1;44;24,5;36,2;45,7;64,7;49,3;.;30,3;54,3;26,7;29,8;24,5;24,3;32,7;33,7;31,6;.;24,2;35;21,1;60,1;14,2;7,4;134,9;92,4;49,4;228,2;58;161,7;2,4;;;;;;;;;;;;;;;PV23
Flevoland (PV);2019;170,5;45,3;25,3;36,3;48,6;63,4;50,3;.;30,4;54,8;27,9;30,4;25,3;24,3;34,8;33,3;32,3;.;23,9;35,4;21,2;42,2;9,3;2,9;101,1;62,2;39,1;135,4;28,3;103,4;1;;;;;;;;;;;;;;;PV24
Gelderland (PV);2019;888,9;45,4;25,2;37,5;48,4;67,2;50,4;.;31,9;56,6;27,4;31;25,2;25,3;34,6;35,2;32,7;.;25,5;36,9;21,5;68,8;16,2;10;155,5;101,6;52,9;216,4;78,9;186,7;3,1;;;;;;;;;;;;;;;PV25
Utrecht (PV);2019;576,6;49,6;27,4;39,9;54,2;74,5;54,2;.;34,3;63,4;29,9;33,9;27,4;26,9;38,8;39,1;35,6;.;27,4;41,4;23,4;83,3;18,6;14,5;172,3;143,7;68,6;226,6;84,7;233,2;3,1;;;;;;;;;;;;;;;PV26
Noord-Holland (PV);2019;1312,7;47,1;27,6;38,9;53,5;74,8;52,7;.;32,2;62,8;30,5;33,2;27,6;26,2;38,3;39,5;35,7;.;26;42;23,9;51,9;12,2;7,2;138,4;127,8;46,7;173,9;33,7;232,4;2,4;;;;;;;;;;;;;;;PV27
Zuid-Holland (PV);2019;1628,7;45,3;26,2;36,6;50,6;69,8;51,3;.;30,8;60;28,7;31,5;26,2;24,6;36,2;36,7;34,1;.;24,8;39,6;22,3;39,1;10,9;2,8;105,8;88;39,2;132,1;25,1;171,4;2;;;;;;;;;;;;;;;PV28
Zeeland (PV);2019;172,4;43,4;25,4;36,5;46,6;65,4;49,4;.;30,9;51,8;25,8;30,3;25,4;24,7;33,4;34,3;32,5;.;24,9;34,8;20,8;82,7;27,1;10,2;171,9;98,3;53,2;232,9;122,3;171,8;3,9;;;;;;;;;;;;;;;PV29
Noord-Brabant (PV);2019;1113,3;46,3;25,9;38,2;49;69,6;51,5;.;32,3;57,8;27,8;31,8;25,9;25,7;35,1;36,6;33,6;.;25,8;37,9;21,9;80,3;17,7;12,4;175,5;120,9;61;232,2;105,7;209,7;3;;;;;;;;;;;;;;;PV30
Limburg (PV);2019;509,7;42,2;24,4;35,9;45,6;64,7;49,1;.;30;52,1;25,7;29,6;24,5;24,5;32,6;34,4;32,4;.;24,1;35;20,7;58,6;14,3;7,9;140,1;87,8;46,8;196,7;66,1;166,4;2,2;;;;;;;;;;;;;;;PV31
Bron: CBS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
